x,y,z,entanglement
0,0,0,nan
0,0,10,nan
0,0,20,nan
0,0,30,0
0,0,40,0
0,0,50,0
0,0,60,0
0,0,70,0
0,0,80,nan
0,0,90,nan
0,0,100,nan
0,0,110,nan
0,0,120,nan
0,0,130,0
0,0,140,0
0,0,150,4.93589e-05
0,0,160,4.74975e-05
0,0,170,0
0,0,180,nan
0,0,190,nan
0,0,200,nan
0,0,210,nan
0,0,220,nan
0,0,230,nan
0,0,240,nan
0,0,250,nan
0,10,0,nan
0,10,10,nan
0,10,20,0
0,10,30,0
0,10,40,0
0,10,50,0
0,10,60,0
0,10,70,0
0,10,80,0
0,10,90,nan
0,10,100,nan
0,10,110,0
0,10,120,0
0,10,130,0.000141511
0,10,140,0.000412173
0,10,150,0.000777568
0,10,160,0.00049751
0,10,170,0.000255755
0,10,180,0
0,10,190,nan
0,10,200,nan
0,10,210,nan
0,10,220,nan
0,10,230,nan
0,10,240,nan
0,10,250,nan
0,20,0,nan
0,20,10,nan
0,20,20,0
0,20,30,0
0,20,40,0
0,20,50,0
0,20,60,0
0,20,70,0
0,20,80,0
0,20,90,nan
0,20,100,0
0,20,110,0.000231287
0,20,120,0.000441404
0,20,130,0.00137065
0,20,140,0.00196263
0,20,150,0.00547935
0,20,160,0.00162295
0,20,170,0.00117839
0,20,180,0.000255755
0,20,190,0
0,20,200,nan
0,20,210,nan
0,20,220,nan
0,20,230,nan
0,20,240,nan
0,20,250,nan
0,30,0,nan
0,30,10,nan
0,30,20,0
0,30,30,0
0,30,40,0
0,30,50,0
0,30,60,1.90397e-06
0,30,70,1.8454e-06
0,30,80,0
0,30,90,0
0,30,100,0.000403707
0,30,110,0.00194935
0,30,120,0.0030314
0,30,130,0.00483457
0,30,140,0.0169889
0,30,150,0.0376489
0,30,160,0.0200172
0,30,170,0.00218569
0,30,180,0.00117839
0,30,190,0
0,30,200,nan
0,30,210,nan
0,30,220,nan
0,30,230,nan
0,30,240,nan
0,30,250,nan
0,40,0,nan
0,40,10,nan
0,40,20,0
0,40,30,0
0,40,40,1.90397e-06
0,40,50,7.00648e-06
0,40,60,7.00648e-06
0,40,70,5.80812e-06
0,40,80,3.73166e-06
0,40,90,9.84025e-05
0,40,100,0.00110632
0,40,110,0.00394883
0,40,120,0.00560037
0,40,130,0.0135066
0,40,140,0.0359275
0,40,150,0.05472
0,40,160,0.0387663
0,40,170,0.00276245
0,40,180,0.00218569
0,40,190,0
0,40,200,nan
0,40,210,nan
0,40,220,nan
0,40,230,nan
0,40,240,nan
0,40,250,nan
0,50,0,nan
0,50,10,nan
0,50,20,nan
0,50,30,4.21697e-06
0,50,40,7.00648e-06
0,50,50,1.11273e-05
0,50,60,1.31626e-05
0,50,70,8.7426e-06
0,50,80,0.000164074
0,50,90,0.000490567
0,50,100,0.00300344
0,50,110,0.00684549
0,50,120,0.00901051
0,50,130,0.0114588
0,50,140,0.0726999
0,50,150,0.0693064
0,50,160,0.0754901
0,50,170,0.0032181
0,50,180,0.00276245
0,50,190,0
0,50,200,nan
0,50,210,nan
0,50,220,nan
0,50,230,nan
0,50,240,nan
0,50,250,nan
0,60,0,nan
0,60,10,nan
0,60,20,nan
0,60,30,0
0,60,40,8.7426e-06
0,60,50,8.7426e-06
0,60,60,8.18617e-06
0,60,70,0.00615122
0,60,80,0.00679838
0,60,90,0.00352756
0,60,100,0.0039292
0,60,110,0.00815168
0,60,120,0.0105832
0,60,130,0.013191
0,60,140,0.0318195
0,60,150,0.0761267
0,60,160,0.0132973
0,60,170,0.00354381
0,60,180,0.00228857
0,60,190,nan
0,60,200,nan
0,60,210,nan
0,60,220,nan
0,60,230,nan
0,60,240,nan
0,60,250,nan
0,70,0,nan
0,70,10,nan
0,70,20,nan
0,70,30,0
0,70,40,0
0,70,50,0.00615122
0,70,60,0.0579977
0,70,70,0.0579977
0,70,80,0.0585982
0,70,90,0.0316354
0,70,100,0.00911726
0,70,110,0.0126776
0,70,120,0.015085
0,70,130,0.0180816
0,70,140,0.0180816
0,70,150,0.0176303
0,70,160,0.0156613
0,70,170,0
0,70,180,0
0,70,190,nan
0,70,200,nan
0,70,210,nan
0,70,220,nan
0,70,230,nan
0,70,240,nan
0,70,250,nan
0,80,0,nan
0,80,10,nan
0,80,20,nan
0,80,30,0
0,80,40,0
0,80,50,0.0579977
0,80,60,0.110613
0,80,70,0.110613
0,80,80,0.110613
0,80,90,0.0864515
0,80,100,0.0329137
0,80,110,0.0175459
0,80,120,0.0202947
0,80,130,0.0202947
0,80,140,0.0199116
0,80,150,0.0199116
0,80,160,0.0114207
0,80,170,0
0,80,180,0
0,80,190,nan
0,80,200,nan
0,80,210,nan
0,80,220,nan
0,80,230,nan
0,80,240,nan
0,80,250,nan
0,90,0,nan
0,90,10,nan
0,90,20,nan
0,90,30,0
0,90,40,0.0310025
0,90,50,0.110613
0,90,60,0.15613
0,90,70,0.156655
0,90,80,0.15613
0,90,90,0.14334
0,90,100,0.0901953
0,90,110,0.0241238
0,90,120,0.0184733
0,90,130,0.0232773
0,90,140,0.0241611
0,90,150,0.0201325
0,90,160,0.00667024
0,90,170,0.000312435
0,90,180,nan
0,90,190,nan
0,90,200,nan
0,90,210,nan
0,90,220,nan
0,90,230,nan
0,90,240,nan
0,90,250,nan
0,100,0,nan
0,100,10,nan
0,100,20,nan
0,100,30,0
0,100,40,0.0372683
0,100,50,0.124571
0,100,60,0.162205
0,100,70,0.185779
0,100,80,0.184568
0,100,90,0.158784
0,100,100,0.116921
0,100,110,0.0115369
0,100,120,0.0128201
0,100,130,0.0237574
0,100,140,0.0209558
0,100,150,0.0137305
0,100,160,0.000442465
