x,y,z,entanglement
250,0,0,0
250,0,10,2.61025e-06
250,0,20,1.25598e-05
250,0,30,1.442e-05
250,0,40,1.442e-05
250,0,50,0.000140184
250,0,60,0.00452423
250,0,70,0.00335614
250,0,80,0.00433823
250,0,90,0.0260524
250,0,100,0.0407201
250,0,110,0.0272414
250,0,120,0.0036327
250,0,130,1.86984e-05
250,0,140,1.93896e-06
250,0,150,0
250,0,160,0
250,0,170,1.26417e-05
250,0,180,1.37714e-05
250,0,190,0
250,0,200,0
250,0,210,0
250,0,220,0
250,0,230,nan
250,0,240,nan
250,0,250,nan
250,10,0,0
250,10,10,1.442e-05
250,10,20,1.442e-05
250,10,30,0.00123881
250,10,40,0.00123881
250,10,50,0.00774933
250,10,60,0.0102148
250,10,70,0.011351
250,10,80,0.0371446
250,10,90,0.067553
250,10,100,0.0651982
250,10,110,0.0574578
250,10,120,0.0479835
250,10,130,0.000342012
250,10,140,0.00108078
250,10,150,0.000197552
250,10,160,3.31142e-05
250,10,170,0.0002231
250,10,180,0.000258927
250,10,190,0.000137488
250,10,200,0
250,10,210,0
250,10,220,0
250,10,230,0
250,10,240,nan
250,10,250,nan
250,20,0,1.25598e-05
250,20,10,1.442e-05
250,20,20,0.00123881
250,20,30,0.00123881
250,20,40,0.00446143
250,20,50,0.0103362
250,20,60,0.0122225
250,20,70,0.0415735
250,20,80,0.0862952
250,20,90,0.0909249
250,20,100,0.0958463
250,20,110,0.0999822
250,20,120,0.0783387
250,20,130,0.00247323
250,20,140,0.024732
250,20,150,0.0464831
250,20,160,0.0430282
250,20,170,0.0529402
250,20,180,0.000802844
250,20,190,0.000829825
250,20,200,9.19162e-05
250,20,210,0
250,20,220,0
250,20,230,0
250,20,240,0
250,20,250,nan
250,30,0,1.442e-05
250,30,10,1.442e-05
250,30,20,0.00123881
250,30,30,0.00123881
250,30,40,0.00844424
250,30,50,0.0118131
250,30,60,0.012841
250,30,70,0.0610465
250,30,80,0.11159
250,30,90,0.119105
250,30,100,0.129973
250,30,110,0.121917
250,30,120,0.115725
250,30,130,0.14811
250,30,140,0.454866
250,30,150,0.436355
250,30,160,0.489966
250,30,170,0.460235
250,30,180,0.450701
250,30,190,0.0320917
250,30,200,0.000655951
250,30,210,0
250,30,220,0
250,30,230,0
250,30,240,0
250,30,250,nan
250,40,0,1.442e-05
250,40,10,0.00123881
250,40,20,0.00123881
250,40,30,0.00123881
250,40,40,0.00852519
250,40,50,0.0122527
250,40,60,0.0132806
