x,y,z,entanglement
750,100,130,1.2774
750,100,140,0.555293
750,100,150,0.43375
750,100,160,0.397642
750,100,170,0.243584
750,100,180,0.0428609
750,100,190,0.00211727
750,100,200,nan
750,100,210,nan
750,100,220,nan
750,100,230,nan
750,100,240,nan
750,100,250,nan
750,110,0,0.00220535
750,110,10,0.036168
750,110,20,0.0455447
750,110,30,0.04604
750,110,40,0.0784056
750,110,50,0.481354
750,110,60,0.800649
750,110,70,1.0324
750,110,80,1.15881
750,110,90,1.1756
750,110,100,1.12377
750,110,110,1.24209
750,110,120,1.33042
750,110,130,1.11567
750,110,140,0.54576
750,110,150,0.339209
750,110,160,0.260263
750,110,170,0.155576
750,110,180,0.0354355
750,110,190,0.00500249
750,110,200,0
750,110,210,0
750,110,220,0
750,110,230,nan
750,110,240,nan
750,110,250,nan
750,120,0,0.00220535
750,120,10,0.016582
750,120,20,0.0455447
750,120,30,0.0459536
750,120,40,0.0782043
750,120,50,0.394648
750,120,60,0.728885
750,120,70,1.0032
750,120,80,1.03192
750,120,90,1.06108
750,120,100,0.974279
750,120,110,1.12489
750,120,120,1.07055
750,120,130,0.869329
750,120,140,0.446114
750,120,150,0.171747
750,120,160,0.160008
750,120,170,0.0950886
750,120,180,0.0204998
750,120,190,0.00224135
750,120,200,0
750,120,210,0
750,120,220,0
750,120,230,0
750,120,240,nan
750,120,250,nan
750,130,0,0.00073665
750,130,10,0.00370248
750,130,20,0.0313309
750,130,30,0.0467003
750,130,40,0.0840239
750,130,50,0.243555
750,130,60,0.594529
750,130,70,0.818618
750,130,80,0.94787
750,130,90,0.978094
750,130,100,0.913526
750,130,110,0.896136
750,130,120,0.936611
750,130,130,0.679436
750,130,140,0.352415
750,130,150,0.117222
750,130,160,0.114169
750,130,170,0.0544119
750,130,180,0.0110491
750,130,190,0.00363893
750,130,200,0.00151396
750,130,210,0
750,130,220,0
750,130,230,0
750,130,240,nan
750,130,250,nan
750,140,0,0
750,140,10,0.00115132
750,140,20,0.0127203
750,140,30,0.0276269
750,140,40,0.0603954
750,140,50,0.156231
750,140,60,0.478068
750,140,70,0.748131
750,140,80,0.837052
750,140,90,0.9249
750,140,100,0.919121
750,140,110,0.821274
750,140,120,0.734821
750,140,130,0.511014
750,140,140,0.347259
750,140,150,0.0888395
750,140,160,0.0686435
750,140,170,0.0314361
750,140,180,0.0048695
750,140,190,0.00453819
750,140,200,0.0036342
750,140,210,0
750,140,220,0
750,140,230,0
750,140,240,nan
750,140,250,nan
750,150,0,0
750,150,10,0.00121195
750,150,20,0.0188617
750,150,30,0.0823101
750,150,40,0.093692
750,150,50,0.170609
750,150,60,0.461417
750,150,70,0.616519
750,150,80,0.728554
750,150,90,0.770796
750,150,100,0.77604
750,150,110,0.685567
750,150,120,0.638484
750,150,130,0.511707
750,150,140,0.367763
750,150,150,0.0294183
750,150,160,0.0294509
750,150,170,0.0210507
750,150,180,0.00453819
750,150,190,0.00485142
750,150,200,0.00360577
750,150,210,0
750,150,220,0
750,150,230,0
750,150,240,nan
750,150,250,nan
750,160,0,nan
750,160,10,0.0133322
750,160,20,0.046847
750,160,30,0.111577
750,160,40,0.141949
750,160,50,0.154628
750,160,60,0.510201
750,160,70,0.648611
750,160,80,0.68718
750,160,90,0.697015
750,160,100,0.706345
750,160,110,0.640872
750,160,120,0.609371
750,160,130,0.566958
750,160,140,0.338694
750,160,150,0.0304793
750,160,160,0.0289618
750,160,170,0.0229634
750,160,180,0.00485142
750,160,190,0.00427664
750,160,200,0.00286051
750,160,210,0
750,160,220,0
750,160,230,0
750,160,240,nan
750,160,250,nan
750,170,0,nan
750,170,10,0.0166615
750,170,20,0.098391
750,170,30,0.137925
750,170,40,0.158539
750,170,50,0.158539
750,170,60,0.45021
750,170,70,0.6432
750,170,80,0.721238
750,170,90,0.676915
750,170,100,0.658456
750,170,110,0.617755
750,170,120,0.583868
750,170,130,0.555085
750,170,140,0.413226
750,170,150,0.0265124
750,170,160,0.0224572
750,170,170,0.023343
750,170,180,0.00427664
750,170,190,0.00360577
750,170,200,0.00208534
750,170,210,0
750,170,220,0
750,170,230,0
750,170,240,nan
750,170,250,nan
750,180,0,0
750,180,10,0.0166615
750,180,20,0.12641
750,180,30,0.154749
750,180,40,0.166721
750,180,50,0.166721
750,180,60,0.280937
750,180,70,0.581523
750,180,80,0.74614
750,180,90,0.772297
750,180,100,0.616867
750,180,110,0.592338
750,180,120,0.60931
750,180,130,0.563803
750,180,140,0.328318
750,180,150,0.0183897
750,180,160,0.0177288
750,180,170,0.0149679
750,180,180,0.00360577
750,180,190,0.00323036
750,180,200,0.00134409
750,180,210,0
750,180,220,0
750,180,230,nan
750,180,240,nan
750,180,250,nan
750,190,0,0
750,190,10,0
750,190,20,0.12641
750,190,30,0.158708
750,190,40,0.173833
750,190,50,0.173833
750,190,60,0.201027
750,190,70,0.513902
750,190,80,0.721398
750,190,90,0.736799
750,190,100,0.574879
750,190,110,0.566063
750,190,120,0.557364
750,190,130,0.485843
750,190,140,0.2209
750,190,150,0.0172188
750,190,160,0.0172623
750,190,170,0.00411733
750,190,180,0
750,190,190,0.000702813
750,190,200,0
750,190,210,nan
750,190,220,nan
750,190,230,nan
750,190,240,nan
750,190,250,nan
750,200,0,0
750,200,10,0
750,200,20,0.136834
750,200,30,0.170018
750,200,40,0.175124
750,200,50,0.181035
750,200,60,0.178099
750,200,70,0.413928
750,200,80,0.605185
750,200,90,0.639145
750,200,100,0.552235
750,200,110,0.573796
750,200,120,0.522188
750,200,130,0.369608
750,200,140,0.161408
750,200,150,0.00870913
750,200,160,0.0061533
750,200,170,0.000398627
750,200,180,0.000123047
750,200,190,nan
750,200,200,nan
750,200,210,nan
750,200,220,nan
750,200,230,nan
750,200,240,nan
750,200,250,nan
750,210,0,nan
750,210,10,0
750,210,20,0.0133312
750,210,30,0.148482
750,210,40,0.175081
750,210,50,0.17773
750,210,60,0.199413
750,210,70,0.32955
750,210,80,0.450502
750,210,90,0.376004
750,210,100,0.562731
750,210,110,0.484541
750,210,120,0.40718
750,210,130,0.193285
750,210,140,0.118998
750,210,150,0.00317616
750,210,160,0.00110402
750,210,170,0
750,210,180,0
750,210,190,0
750,210,200,nan
750,210,210,nan
750,210,220,nan
750,210,230,nan
750,210,240,nan
750,210,250,nan
750,220,0,nan
750,220,10,0.000765907
750,220,20,0.00123589
750,220,30,0.0503462
750,220,40,0.113678
750,220,50,0.142491
750,220,60,0.293467
750,220,70,0.357001
750,220,80,0.242872
750,220,90,0.246596
750,220,100,0.386642
750,220,110,0.427937
750,220,120,0.239136
750,220,130,0.180131
750,220,140,0.0712861
750,220,150,0.00169357
750,220,160,0.000549474
750,220,170,0
750,220,180,0
750,220,190,0
750,220,200,nan
750,220,210,nan
750,220,220,nan
750,220,230,nan
750,220,240,nan
750,220,250,nan
750,230,0,0
750,230,10,0
750,230,20,0.00070138
750,230,30,0.017506
750,230,40,0.0363588
750,230,50,0.0892591
750,230,60,0.296211
750,230,70,0.305681
750,230,80,0.215897
750,230,90,0.218651
750,230,100,0.242681
750,230,110,0.303577
750,230,120,0.291842
750,230,130,0.126928
750,230,140,0.0270187
750,230,150,0.00768957
750,230,160,0.00515639
750,230,170,0.000283275
750,230,180,0
750,230,190,0
750,230,200,0
750,230,210,nan
750,230,220,nan
750,230,230,nan
750,230,240,nan
750,230,250,nan
750,240,0,0
750,240,10,0
750,240,20,7.58056e-05
750,240,30,0.00121886
750,240,40,0.0065617
750,240,50,0.0583469
750,240,60,0.22421
750,240,70,0.273618
750,240,80,0.243237
750,240,90,0.230669
750,240,100,0.262372
750,240,110,0.264928
750,240,120,0.254944
750,240,130,0.107363
750,240,140,0.0727195
750,240,150,0.0585909
750,240,160,0.0408044
750,240,170,0.0307849
750,240,180,0.0233695
750,240,190,0.010588
750,240,200,0.00686474
750,240,210,nan
750,240,220,nan
750,240,230,nan
750,240,240,nan
750,240,250,nan
750,250,0,0
750,250,10,0
750,250,20,0.000204927
750,250,30,0.00141238
750,250,40,0.00875707
750,250,50,0.059362
750,250,60,0.212166
750,250,70,0.202802
750,250,80,0.265217
750,250,90,0.284788
750,250,100,0.237452
750,250,110,0.248135
750,250,120,0.254311
750,250,130,0.160524
750,250,140,0.108534
750,250,150,0.0667866
750,250,160,0.0531253
750,250,170,0.0714823
750,250,180,0.0644458
750,250,190,0.035615
750,250,200,0.0213966
750,250,210,0.00238199
750,250,220,nan
750,250,230,nan
750,250,240,nan
750,250,250,nan
750,260,0,0
750,260,10,0.000511791
750,260,20,0.000748623
750,260,30,0.0033199
750,260,40,0.0143794
750,260,50,0.0533771
750,260,60,0.206814
750,260,70,0.214419
750,260,80,0.258244
750,260,90,0.253534
750,260,100,0.242802
750,260,110,0.239265
750,260,120,0.325474
750,260,130,0.223047
750,260,140,0.140111
750,260,150,0.0703052
750,260,160,0.100489
750,260,170,0.0921209
750,260,180,0.080162
750,260,190,0.0626073
750,260,200,0.0254888
750,260,210,0.0177923
750,260,220,0
750,260,230,nan
750,260,240,nan
750,260,250,nan
750,270,0,0.000511791
750,270,10,0.000824308
750,270,20,0.00184715
750,270,30,0.00661891
750,270,40,0.0143871
750,270,50,0.0588801
750,270,60,0.215975
750,270,70,0.236201
750,270,80,0.218815
750,270,90,0.236471
750,270,100,0.243894
750,270,110,0.357694
750,270,120,0.388397
750,270,130,0.258984
750,270,140,0.150191
750,270,150,0.10932
750,270,160,0.123284
750,270,170,0.0936617
750,270,180,0.0937372
750,270,190,0.0696843
750,270,200,0.0233973
750,270,210,0.0196297
750,270,220,0
750,270,230,nan
750,270,240,nan
750,270,250,nan
750,280,0,0.000255819
750,280,10,0.000896411
750,280,20,0.00444298
750,280,30,0.00940489
750,280,40,0.0143554
750,280,50,0.0728875
750,280,60,0.205604
750,280,70,0.242191
750,280,80,0.241469
750,280,90,0.19826
750,280,100,0.34527
750,280,110,0.407159
750,280,120,0.345525
750,280,130,0.239899
750,280,140,0.148122
750,280,150,0.130922
750,280,160,0.121275
750,280,170,0.0981327
750,280,180,0.0946069
750,280,190,0.0759001
750,280,200,0.0213078
750,280,210,0.0168604
750,280,220,0
