x,y,z,entanglement
500,0,0,nan
500,0,10,nan
500,0,20,0
500,0,30,0.000394664
500,0,40,0.000843072
500,0,50,0.00138305
500,0,60,0.00185655
500,0,70,0.00159099
500,0,80,0.00983503
500,0,90,0.0479434
500,0,100,0.0538056
500,0,110,0.0538056
500,0,120,0.02378
500,0,130,0
500,0,140,0.000870455
500,0,150,0.00540086
500,0,160,0.00486614
500,0,170,0.00205866
500,0,180,0.0023348
500,0,190,0.00205866
500,0,200,0.00116392
500,0,210,0
500,0,220,0
500,0,230,0
500,0,240,nan
500,0,250,nan
500,10,0,nan
500,10,10,0
500,10,20,0.00145617
500,10,30,0.00211325
500,10,40,0.0162457
500,10,50,0.0256964
500,10,60,0.0241974
500,10,70,0.0403753
500,10,80,0.0851817
500,10,90,0.139259
500,10,100,0.135001
500,10,110,0.148666
500,10,120,0.107194
500,10,130,0.029801
500,10,140,0.00517977
500,10,150,0.0126111
500,10,160,0.0140349
500,10,170,0.00430811
500,10,180,0.00430811
500,10,190,0.00430811
500,10,200,0.00295559
500,10,210,0.00205866
500,10,220,0
500,10,230,0
500,10,240,nan
500,10,250,nan
500,20,0,nan
500,20,10,0.00171858
500,20,20,0.00301216
500,20,30,0.0151748
500,20,40,0.0269615
500,20,50,0.0333512
500,20,60,0.0665442
500,20,70,0.0742272
500,20,80,0.163803
500,20,90,0.23215
500,20,100,0.264855
500,20,110,0.244155
500,20,120,0.198168
500,20,130,0.106347
500,20,140,0.0144569
500,20,150,0.0222971
500,20,160,0.0208125
500,20,170,0.00773883
500,20,180,0.0057204
500,20,190,0.00509333
500,20,200,0.00441773
500,20,210,0.00375569
500,20,220,0.000752066
500,20,230,0
500,20,240,nan
500,20,250,nan
500,30,0,0
500,30,10,0.00339188
500,30,20,0.00410035
500,30,30,0.0197472
500,30,40,0.036707
500,30,50,0.0381542
500,30,60,0.0863659
500,30,70,0.0965728
500,30,80,0.330129
500,30,90,0.326126
500,30,100,0.344296
500,30,110,0.311892
500,30,120,0.272271
500,30,130,0.226199
500,30,140,0.0435089
500,30,150,0.0365971
500,30,160,0.0366407
500,30,170,0.0155281
500,30,180,0.00620614
500,30,190,0.00620614
500,30,200,0.00494038
500,30,210,0.00361471
500,30,220,0.00186018
500,30,230,nan
500,30,240,nan
500,30,250,nan
500,40,0,8.92036e-05
500,40,10,0.00461787
500,40,20,0.00640544
500,40,30,0.023526
500,40,40,0.0435661
500,40,50,0.0688697
500,40,60,0.102175
500,40,70,0.114224
500,40,80,0.420482
500,40,90,0.389787
500,40,100,0.397342
500,40,110,0.384921
500,40,120,0.347768
500,40,130,0.301455
500,40,140,0.10587
500,40,150,0.0511581
500,40,160,0.0584283
500,40,170,0.0326301
500,40,180,0.0117799
500,40,190,0.00564332
500,40,200,0.00456859
500,40,210,0.00402438
500,40,220,0.000965234
500,40,230,nan
500,40,240,nan
500,40,250,nan
500,50,0,0.00264521
500,50,10,0.00878641
500,50,20,0.0127453
500,50,30,0.0322047
500,50,40,0.0562904
500,50,50,0.0913196
500,50,60,0.129633
500,50,70,0.142992
500,50,80,0.42979
500,50,90,0.448303
500,50,100,0.425687
500,50,110,0.42933
500,50,120,0.42274
500,50,130,0.392311
500,50,140,0.161759
500,50,150,0.06203
500,50,160,0.0635316
500,50,170,0.0274509
500,50,180,0.0230152
500,50,190,0.0049491
500,50,200,0.00351995
500,50,210,0.00119006
500,50,220,0
500,50,230,nan
500,50,240,nan
500,50,250,nan
500,60,0,0.00515986
500,60,10,0.0128297
500,60,20,0.0255552
500,60,30,0.0465703
500,60,40,0.0908147
500,60,50,0.127886
500,60,60,0.158783
500,60,70,0.132728
500,60,80,0.44019
500,60,90,0.451791
500,60,100,0.492831
500,60,110,0.586806
500,60,120,0.511409
500,60,130,0.483005
500,60,140,0.250553
500,60,150,0.110718
500,60,160,0.0591426
500,60,170,0.0246512
500,60,180,0.0187253
500,60,190,0.00242624
500,60,200,0
500,60,210,0
500,60,220,0
500,60,230,nan
500,60,240,nan
500,60,250,nan
500,70,0,0.010512
500,70,10,0.0245349
500,70,20,0.0670948
500,70,30,0.0908975
500,70,40,0.129737
500,70,50,0.184523
500,70,60,0.195
500,70,70,0.162599
500,70,80,0.338402
500,70,90,0.430196
500,70,100,0.521926
500,70,110,0.607912
500,70,120,0.547215
500,70,130,0.425136
500,70,140,0.24184
500,70,150,0.118206
500,70,160,0.0617289
500,70,170,0.0187253
500,70,180,0.0187253
500,70,190,0
500,70,200,0
500,70,210,0
500,70,220,0
500,70,230,nan
500,70,240,nan
500,70,250,nan
500,80,0,0.0141425
500,80,10,0.054289
500,80,20,0.113229
500,80,30,0.136245
500,80,40,0.164986
500,80,50,0.224608
500,80,60,0.215376
500,80,70,0.198497
500,80,80,0.132458
